Date,Open,High,Low,Close,Adj Close,Volume
2023-02-14,177.160004,181.509995,175.880005,179.479996,179.479996,24034600
2023-02-15,176.419998,178.190002,175.330002,177.160004,177.160004,25308900
2023-02-16,172.750000,175.850006,171.789993,172.440002,172.440002,25827500
2023-02-17,170.220001,173.179993,169.699997,172.880005,172.880005,24171300
2023-02-21,174.309998,178.169998,171.880005,172.080002,172.080002,34592600
2023-02-22,171.070007,172.759995,169.690002,171.119995,171.119995,22433200
2023-02-23,172.000000,173.690002,169.380005,172.039993,172.039993,20017800
2023-02-24,168.639999,170.720001,167.660004,170.389999,170.389999,19791300
2023-02-27,171.880005,173.119995,169.059998,169.539993,169.539993,19277000
2023-02-28,171.899994,177.550003,171.869995,174.940002,174.940002,46051100
2023-03-01,174.589996,177.850006,173.050003,173.419998,173.419998,30998400
2023-03-02,172.380005,175.009995,171.429993,174.529999,174.529999,17352000
2023-03-03,178.919998,186.619995,177.050003,185.250000,185.250000,45821600
2023-03-06,188.000000,189.660004,184.639999,184.899994,184.899994,33209400
2023-03-07,189.000000,190.360001,184.009995,184.509995,184.509995,36701500
2023-03-08,182.869995,185.259995,181.339996,184.970001,184.970001,19432400
2023-03-09,186.350006,188.929993,180.300003,181.690002,181.690002,26582800
2023-03-10,181.009995,184.770004,178.800003,179.509995,179.509995,25547400
2023-03-13,177.960007,183.779999,174.820007,180.899994,180.899994,24728000
2023-03-14,187.580002,194.320007,186.559998,194.020004,194.020004,41642600
2023-03-15,192.949997,197.779999,190.839996,197.750000,197.750000,41202000
