Date,Open,High,Low,Close,Adj Close,Volume
2023-02-13,267.640015,274.600006,267.149994,271.320007,270.642120,44630900
2023-02-14,272.670013,274.970001,269.279999,272.170013,271.490021,37047900
2023-02-15,268.320007,270.730011,266.179993,269.320007,269.320007,28922400
2023-02-16,264.019989,266.739990,261.899994,262.149994,262.149994,29603600
2023-02-17,259.390015,260.089996,256.000000,258.059998,258.059998,30000100
2023-02-21,254.479996,255.490005,251.589996,252.669998,252.669998,28397400
2023-02-22,254.089996,254.339996,250.339996,251.509995,251.509995,22491100
2023-02-23,255.559998,256.839996,250.479996,254.770004,254.770004,29219100
2023-02-24,249.960007,251.000000,248.100006,249.220001,249.220001,24990900
2023-02-27,252.460007,252.820007,249.389999,250.160004,250.160004,21190000
2023-02-28,249.070007,251.490005,248.729996,249.419998,249.419998,22491000
2023-03-01,250.759995,250.929993,245.789993,246.270004,246.270004,27565300
2023-03-02,246.550003,251.399994,245.610001,251.110001,251.110001,24808200
2023-03-03,252.190002,255.619995,251.389999,255.289993,255.289993,30741300
2023-03-06,256.429993,260.119995,255.979996,256.869995,256.869995,24109800
2023-03-07,256.299988,257.690002,253.389999,254.149994,254.149994,21473200
2023-03-08,254.039993,254.539993,250.809998,253.699997,253.699997,17340200
2023-03-09,255.820007,259.559998,251.580002,252.320007,252.320007,26653400
2023-03-10,251.080002,252.789993,247.600006,248.589996,248.589996,28321800
2023-03-13,247.399994,257.910004,245.729996,253.919998,253.919998,33339700
2023-03-14,256.750000,261.070007,255.860001,260.790009,260.790009,33594200
